0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Ford,Nixon
,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0
,0.0,3,1.4,0.0,3.8,-0.8,2.9,2.2,0.7,0.8,2.3,-1.8
,0.0,4,1.4,0.0,3.8,-0.8,2.9,2.2,0.7,0.8,2.3,-1.8
,0.0,5,1.4,0.0,3.8,-0.8,2.9,2.2,0.7,0.8,5.9,-1.8
,,6,1.1,2.0,7.0,0.6,4.3,4.3,3.5,4.4,5.9,0.3
,,7,1.1,2.0,7.0,0.6,4.3,4.3,3.5,4.4,5.9,0.3
,,8,1.1,2.0,7.0,0.6,4.3,4.3,3.5,4.4,10.7,0.3
,,9,5.3,3.3,10.6,2.9,7.2,7.7,6.7,7.4,10.7,2.4
,,10,5.3,3.3,10.6,2.9,7.2,7.7,6.7,7.4,10.7,2.4
,,11,5.3,3.3,10.6,2.9,7.2,7.7,6.7,7.4,15.0,2.4
,,12,8.1,6.3,14.8,4.0,8.2,11.3,10.0,10.3,15.0,3.5
,,13,8.1,6.3,14.8,4.0,8.2,11.3,10.0,10.3,15.0,3.5
,,14,8.1,6.3,14.8,4.0,8.2,11.3,10.0,10.3,19.8,3.5
,,15,8.7,6.8,18.6,6.1,9.8,14.7,11.9,11.9,19.8,2.9
,,16,8.7,6.8,18.6,6.1,9.8,14.7,11.9,11.9,19.8,2.9
,,17,8.7,6.8,18.6,6.1,9.8,14.7,11.9,11.9,24.7,2.9
,,18,9.9,8.4,21.9,7.9,10.9,18.0,18.4,15.3,24.7,5.3
,,19,9.9,8.4,21.9,7.9,10.9,18.0,18.4,15.3,24.7,5.3
,,20,9.9,8.4,21.9,7.9,10.9,18.0,18.4,15.3,28.9,5.3
,,21,11.7,10.7,26.0,10.9,13.5,22.8,24.1,17.9,28.9,8.2
,,22,11.7,10.7,26.0,10.9,13.5,22.8,24.1,17.9,28.9,8.2
,,23,11.7,10.7,26.0,10.9,13.5,22.8,24.1,17.9,31.8,8.2
,,24,11.8,11.0,28.2,11.9,15.0,26.4,29.0,19.1,31.8,8.9
,,25,11.8,11.0,28.2,11.9,15.0,26.4,29.0,19.1,31.8,8.9
,,26,11.8,11.0,28.2,11.9,15.0,26.4,29.0,19.1,35.7,8.9
,,27,14.9,11.0,28.9,15.5,17.0,29.1,36.8,20.3,35.7,10.5
,,28,14.9,11.0,28.9,15.5,17.0,29.1,36.8,20.3,35.7,10.5
,,29,14.9,11.0,28.9,15.5,17.0,29.1,36.8,20.3,39.0,10.5
,,30,17.9,14.5,32.9,17.5,17.6,33.7,42.8,23.5,,14.7
,,31,17.9,14.5,32.9,17.5,17.6,33.7,42.8,23.5,,14.7
,,32,17.9,14.5,32.9,17.5,17.6,33.7,42.8,23.5,,14.7
,,33,20.9,16.9,36.8,21.2,17.9,38.7,46.3,26.3,,18.0
,,34,20.9,16.9,36.8,21.2,17.9,38.7,46.3,26.3,,18.0
,,35,20.9,16.9,36.8,21.2,17.9,38.7,46.3,26.3,,18.0
,,36,22.9,17.0,40.3,23.5,21.0,41.6,51.8,29.0,,18.9
,,37,22.9,17.0,40.3,23.5,21.0,41.6,51.8,29.0,,18.9
,,38,22.9,17.0,40.3,23.5,21.0,41.6,51.8,29.0,,18.9
,,39,23.8,33.4,42.5,26.0,22.0,45.4,56.8,31.1,,18.6
,,40,23.8,33.4,42.5,26.0,22.0,45.4,56.8,31.1,,18.6
,,41,23.8,33.4,42.5,26.0,22.0,45.4,56.8,31.1,,18.6
,,42,26.1,35.8,44.4,27.8,23.5,48.3,63.0,35.6,,20.7
,,43,26.1,35.8,44.4,27.8,23.5,48.3,63.0,35.6,,20.7
,,44,26.1,35.8,44.4,27.8,23.5,48.3,63.0,35.6,,20.7
,,45,28.7,39.8,47.7,31.6,25.8,52.4,72.4,39.0,,24.7
,,46,28.7,39.8,47.7,31.6,25.8,52.4,72.4,39.0,,24.7
,,47,28.7,39.8,47.7,31.6,25.8,52.4,72.4,39.0,,24.7
,,48,28.7,41.8,50.7,34.7,27.2,54.4,77.4,44.1,,27.6
,,49,,,50.7,34.7,27.2,,77.4,,,27.6
,,50,,,50.7,34.7,27.2,,77.4,,,27.6
,,51,,,50.4,35.7,27.1,,84.0,,,27.2
,,52,,,50.4,35.7,27.1,,84.0,,,27.2
,,53,,,50.4,35.7,27.1,,84.0,,,27.2
,,54,,,50.4,37.4,28.0,,89.0,,,28.1
,,55,,,50.4,37.4,28.0,,89.0,,,28.1
,,56,,,50.4,37.4,28.0,,89.0,,,28.1
,,57,,,54.2,41.5,30.1,,101.8,,,30.5
,,58,,,54.2,41.5,30.1,,101.8,,,30.5
,,59,,,54.2,41.5,30.1,,101.8,,,30.5
,,60,,,58.2,45.0,31.0,,106.0,,,31.7
,,61,,,58.2,45.0,31.0,,106.0,,,31.7
,,62,,,58.2,45.0,31.0,,106.0,,,31.7
,,63,,,58.5,45.8,31.1,,113.5,,,31.9
,,64,,,58.5,45.8,31.1,,113.5,,,31.9
,,65,,,58.5,45.8,31.1,,113.5,,,31.9
,,66,,,60.2,47.3,30.6,,120.3,,,33.9
,,67,,,60.2,47.3,30.6,,120.3,,,33.9
,,68,,,60.2,47.3,30.6,,120.3,,,
,,69,,,63.0,50.3,32.7,,129.6,,,
,,70,,,63.0,50.3,32.7,,129.6,,,
,,71,,,63.0,50.3,32.7,,129.6,,,
,,72,,,63.1,53.3,33.6,,132.9,,,
,,73,,,63.1,53.3,33.6,,132.9,,,
,,74,,,63.1,53.3,33.6,,132.9,,,
,,75,,,63.1,53.6,33.3,,139.4,,,
,,76,,,63.1,53.6,33.3,,139.4,,,
,,77,,,63.1,53.6,33.3,,139.4,,,
,,78,,,63.1,56.0,33.7,,143.7,,,
,,79,,,63.1,56.0,33.7,,143.7,,,
,,80,,,63.1,56.0,33.7,,143.7,,,
,,81,,,70.1,59.8,36.5,,152.1,,,
,,82,,,70.1,59.8,36.5,,152.1,,,
,,83,,,70.1,59.8,36.5,,152.1,,,
,,84,,,73.1,63.5,36.5,,157.9,,,
,,85,,,73.1,63.5,36.5,,157.9,,,
,,86,,,73.1,63.5,36.5,,157.9,,,
,,87,,,74.2,64.4,34.4,,164.1,,,
,,88,,,74.2,64.4,34.4,,164.1,,,
,,89,,,74.2,64.4,34.4,,164.1,,,
,,90,,,75.9,73.6,34.1,,169.8,,,
,,91,,,75.9,73.6,34.1,,169.8,,,
,,92,,,75.9,73.6,34.1,,169.8,,,
,,93,,,79.5,85.3,33.8,,178.3,,,
,,94,,,79.5,85.3,33.8,,178.3,,,
,,95,,,79.5,85.3,33.8,,178.3,,,
,,96,,,78.4,92.7,36.5,,184.2,,,
